date,gdp_diff,cpi,interest,ppi,une,cps,gdp_gap,lm_positive,lm_negative,vader_positive,vader_negative,words_count,recession,cpi_diff,interest_diff,cps_diff,une_diff,subprime,covid
2010-06-01,0.2607672603899971,1.5,3.6894,3.34518636697233,10.4,14.1,-0.2569623426089578,0.0293870696893366,0.0680100755667506,0.156,0.094,1191,0,-0.19999999999999996,0.007299999999999862,-0.8000000000000007,0.0,0,0
2010-07-01,0.2513727328311006,1.7,3.6136,3.60617616283959,10.3,14.6,-0.07915097156188722,0.0344632768361581,0.0666666666666666,0.13,0.05,1770,0,0.19999999999999996,-0.07580000000000009,0.5,-0.09999999999999964,0,0
2010-08-01,0.24405876787619718,1.6,3.437,3.00984360881322,10.3,14.4,0.08712453330618075,0.0223033252230332,0.0527169505271695,0.095,0.052,2466,0,-0.09999999999999987,-0.1766000000000001,-0.1999999999999993,0.0,0,0
2010-09-01,0.24004015528619504,1.9,3.4933,3.40295977959092,10.3,13.7,0.24581055009377906,0.0314106225014277,0.0588235294117647,0.093,0.036,1751,0,0.2999999999999998,0.05630000000000024,-0.7000000000000011,0.0,0,0
2010-10-01,0.23781294569310774,1.9,3.3306,4.03520440897842,10.3,13.3,0.3993434572166734,0.0308641975308641,0.0737801293356849,0.126,0.089,3402,0,0.0,-0.16270000000000007,-0.3999999999999986,0.0,0,0
2010-11-01,0.23499364824149893,1.9,3.7209,3.88813754342345,10.3,14.1,0.5477590720579997,0.0325251330573625,0.0561797752808988,0.099,0.093,1691,0,0.0,0.39029999999999987,0.7999999999999989,0.0,0,0
2010-12-01,0.22844567046330155,2.2,4.0696,4.56592765884352,10.2,18.4,0.6879288873483063,0.0325960419091967,0.0611175785797438,0.125,0.058,1718,0,0.30000000000000027,0.34870000000000045,4.299999999999999,-0.10000000000000142,0,0
2011-01-01,0.21443435593889149,2.3,3.9391,4.83638136838293,10.2,24.8,0.8129517005740894,0.0257695060844667,0.0658554044380816,0.122,0.1,4191,0,0.09999999999999964,-0.1305000000000005,6.400000000000002,0.0,0,0
2011-02-01,0.19334403676380418,2.4,4.4787,5.93094507618411,10.2,29.0,0.9162628684779435,0.0284370322856531,0.0549497541158862,0.062,0.032,4677,0,0.10000000000000009,0.5396000000000001,4.199999999999999,0.0,0,0
2011-03-01,0.16483644355520255,2.7,4.4907,6.6826119404931,10.1,33.9,0.9909030234404526,0.0351882160392798,0.055646481178396,0.15,0.041,1222,0,0.30000000000000027,0.012000000000000455,4.899999999999999,-0.09999999999999964,0,0
2011-04-01,0.1379407476322001,2.8,4.6606,6.97350901774628,10.0,34.1,1.0388783397954597,0.0306503198294243,0.0525053304904051,0.104,0.054,3752,0,0.09999999999999964,0.16989999999999927,0.20000000000000284,-0.09999999999999964,0,0
2011-05-01,0.11477361099169059,2.7,4.3691,6.79725262483149,10.1,30.5,1.064242841163761,0.027930174563591,0.0518703241895261,0.124,0.06,2005,0,-0.09999999999999964,-0.2914999999999992,-3.6000000000000014,0.09999999999999964,0,0
2011-06-01,0.09370584252189929,2.7,4.3783,6.89497325156039,10.1,27.6,1.0693492157251399,0.0254163014899211,0.0537540169442009,0.114,0.093,3423,0,0.0,0.009199999999999875,-2.8999999999999986,0.0,0,0
2011-07-01,0.07088766350150877,2.6,4.6034,7.22612995869546,10.2,28.7,1.052626467185263,0.0372616984402079,0.0571923743500866,0.101,0.062,1154,1,-0.10000000000000009,0.2250999999999994,1.0999999999999979,0.09999999999999964,0,0
2011-08-01,0.04442025983330211,2.6,4.2081,6.89785358101056,10.3,29.5,1.0105305247903402,0.0346045197740113,0.0529661016949152,0.138,0.057,1416,1,0.0,-0.39529999999999976,0.8000000000000007,0.10000000000000142,0,0
2011-09-01,0.015891594918599594,3.0,4.038,7.05476611731135,10.5,28.8,0.9410321821277137,0.0294617563739376,0.0594900849858356,0.134,0.054,3530,1,0.3999999999999999,-0.1700999999999997,-0.6999999999999993,0.1999999999999993,0,0
2011-10-01,-0.007835457736106832,3.0,4.0786,6.1464598655634,10.6,27.9,0.8488949305603626,0.0288739172281039,0.052614693615656,0.113,0.068,3117,1,0.0,0.040599999999999525,-0.9000000000000021,0.09999999999999964,0,0
2011-11-01,-0.023998688281594127,3.0,4.3943,5.82457717625935,10.7,27.7,0.7415791218433441,0.0396424407306645,0.0573260785075787,0.179,0.071,5146,1,0.0,0.31570000000000054,-0.1999999999999993,0.09999999999999964,0,0
2011-12-01,-0.032330178860206615,2.8,4.0932,4.79970211656965,10.8,33.1,0.6267540745525508,0.032983508245877,0.0419790104947526,0.151,0.054,1334,1,-0.20000000000000018,-0.3010999999999999,5.400000000000002,0.10000000000000142,0,0
2012-01-01,-0.03396312652809286,2.7,3.906,4.18330106174774,10.9,30.9,0.5109044116576342,0.0376344086021505,0.0477150537634408,0.087,0.022,1488,1,-0.09999999999999964,-0.18720000000000026,-2.200000000000003,0.09999999999999964,0,0
2012-02-01,-0.029387606408903366,2.7,3.7461,3.64636117784956,11.1,30.5,0.3999811564160751,0.0387931034482758,0.0657327586206896,0.133,0.081,2784,1,0.0,-0.15989999999999993,-0.3999999999999986,0.1999999999999993,0,0
2012-03-01,-0.021875485684503815,2.7,3.2821,2.96193449365308,11.2,28.3,0.29662798543046165,0.0286872466479575,0.0520735890240099,0.127,0.048,3207,1,0.0,-0.4640000000000004,-2.1999999999999993,0.09999999999999964,0,0
2012-04-01,-0.012555942269102616,2.6,3.3809,2.05760218615195,11.3,31.0,0.2023316209199919,0.0231928220755036,0.0577281191806331,0.087,0.067,5907,1,-0.10000000000000009,0.09880000000000022,2.6999999999999993,0.10000000000000142,0,0
2012-05-01,-0.003394307711900524,2.4,3.527,1.31236822632278,11.4,26.4,0.11659285438901179,0.0228744065602071,0.0671126456624946,0.092,0.101,4634,1,-0.20000000000000018,0.14610000000000012,-4.600000000000001,0.09999999999999964,0,0
