date,gdp,cpi,interest,ppi,une,cps,gdp_cycle,gdp_trend,lm_positive,lm_negative,vader_positive,vader_negative,gdp_diff,cpi_diff,une_diff,ppi_diff,interest_diff,subprime,debt_crises,covid
2011-05-01,94.5227092749653,2.7,4.3691,101.5,10.1,30.5,1.0668403421286712,93.45586893283662,0.033629897850191784,0.06119038131170179,0.12523809523809523,0.07852380952380952,0.11477361099169059,-0.09999999999999964,0.09999999999999964,0.0,-0.2914999999999992,0,0,0
2011-06-01,94.6164151174872,2.7,4.3783,101.4,10.1,27.6,1.0718866535056435,93.54452846398155,0.027574012559073106,0.05605973312785772,0.11177272727272727,0.07795454545454546,0.09370584252189929,0.0,0.0,-0.09999999999999432,0.009199999999999875,0,0,0
2011-07-01,94.6873027809887,2.6,4.6034,101.9,10.2,28.7,1.0551233926672268,93.63217938832148,0.03582524412927225,0.050607659071533695,0.137,0.062,0.07088766350150877,-0.10000000000000009,0.09999999999999964,0.5,0.2250999999999994,0,0,0
2011-08-01,94.731723040822,2.6,4.2081,101.8,10.3,29.5,1.0130083180931706,93.71871472272883,0.03238813150101713,0.048405404971844236,0.13733333333333334,0.03733333333333333,0.04442025983330211,0.0,0.10000000000000142,-0.10000000000000853,-0.39529999999999976,0,0,0
2011-09-01,94.7476146357406,3.0,4.038,102.0,10.5,28.8,0.943513879206705,93.8041007565339,0.027252441166898952,0.051422541272180114,0.10525,0.0665,0.015891594918599594,0.3999999999999999,0.1999999999999993,0.20000000000000284,-0.1700999999999997,0,1,0
2011-10-01,94.7397791780045,3.0,4.0786,102.1,10.6,27.9,0.8514050511376894,93.88837412686681,0.032827289066982214,0.05532083539381438,0.12007142857142858,0.08357142857142856,-0.007835457736106832,0.0,0.09999999999999964,0.09999999999999432,0.040599999999999525,0,1,0
2011-11-01,94.7157804897229,3.0,4.3943,102.3,10.7,27.7,0.744143497067995,93.97163699265491,0.03152932806007803,0.062461459015089094,0.11866666666666666,0.07525,-0.023998688281594127,0.0,0.09999999999999964,0.20000000000000284,0.31570000000000054,0,1,0
2011-12-01,94.6834503108627,2.8,4.0932,102.1,10.8,33.1,0.6293996726863895,94.0540506381763,0.027022515972359214,0.06165953270873686,0.12042857142857143,0.07314285714285715,-0.032330178860206615,-0.20000000000000018,0.10000000000000142,-0.20000000000000284,-0.3010999999999999,0,1,0
2012-01-01,94.6494871843346,2.7,3.906,102.8,10.9,30.9,0.5136591599937645,94.13582802434084,0.028399710946146142,0.06344997606025886,0.11808928571428572,0.08794642857142856,-0.03396312652809286,-0.09999999999999964,0.09999999999999964,0.7000000000000028,-0.18720000000000026,0,1,0
2012-02-01,94.6200995779257,2.7,3.7461,103.3,11.1,30.5,0.40287375755680443,94.2172258203689,0.029776905919933074,0.06524041941178085,0.11575,0.10275,-0.029387606408903366,0.0,0.1999999999999993,0.5,-0.15989999999999993,0,1,0
2012-03-01,94.5982240922412,2.7,3.2821,103.7,11.2,28.3,0.29968772598533633,94.29853636625586,0.021697800025463013,0.045160329513143756,0.09011111111111111,0.057,-0.021875485684503815,0.0,0.09999999999999964,0.4000000000000057,-0.4640000000000004,0,1,0
2012-04-01,94.5856681499721,2.6,3.3809,103.9,11.3,31.0,0.20558817063067636,94.38007997934142,0.028578672644905767,0.05343086414621818,0.11376923076923078,0.06723076923076923,-0.012555942269102616,-0.10000000000000009,0.10000000000000142,0.20000000000000284,0.09880000000000022,0,1,0
2012-05-01,94.5822738422602,2.4,3.527,103.7,11.4,26.4,0.12007605364730978,94.46219778861288,0.03365791951442742,0.05512936906513222,0.1269090909090909,0.06663636363636363,-0.003394307711900524,-0.20000000000000018,0.09999999999999964,-0.20000000000000284,0.14610000000000012,0,1,0
2012-06-01,94.5853238831905,2.4,3.4056,103.3,11.5,23.7,0.04007868317661689,94.54524520001388,0.03307816423061151,0.058887941288193454,0.1202,0.0692,0.003050040930304476,0.0,0.09999999999999964,-0.4000000000000057,-0.12139999999999995,0,1,0
2012-07-01,94.588319242673,2.4,3.2481,103.6,11.5,25.2,-0.041266715429941314,94.62958595810294,0.02735351429481805,0.060365466406462,0.12266666666666666,0.07583333333333334,0.002995359482497406,0.0,0.0,0.29999999999999716,-0.1575000000000002,0,1,0
2012-08-01,94.5850560794331,2.6,3.0094,104.4,11.6,29.7,-0.13053051124738602,94.71558659068049,0.026924221189688503,0.0560990593827958,0.08566666666666667,0.08566666666666667,-0.0032631632398931743,0.20000000000000018,0.09999999999999964,0.8000000000000114,-0.23870000000000013,0,1,0
